,x,y,z,mae
507,REP-GBP,SOL-BTC,4,0.8340339272761356
508,REP-GBP,SOL-BTC,5,0.8318998594115886
509,REP-GBP,SOL-BTC,6,0.8290643018340498
510,REP-GBP,SOL-ETH,1,0.8739820779228039
511,REP-GBP,SOL-ETH,2,0.8674704805466575
512,REP-GBP,SOL-ETH,3,0.8481367774861003
513,REP-GBP,SOL-ETH,4,0.8397845105163495
514,REP-GBP,SOL-ETH,5,0.837025076506555
515,REP-GBP,SOL-ETH,6,0.8348622557077923
516,REP-GBP,SOL-GBP,1,0.8014850181514421
517,REP-GBP,SOL-GBP,2,0.7961285119646277
518,REP-GBP,SOL-GBP,3,0.7905185915088934
519,REP-GBP,SOL-GBP,4,0.7928733169435456
520,REP-GBP,SOL-GBP,5,0.7917191899209246
